sample_row_id,sample_date,sample_time,sample_datetime,raw_sampling_site,site_name,major_category,sample_location,chlorophyll_ugl_replicate_1,chlorophyll_ugl_replicate_2,chlorophyll_ugl_replicate_3,chlorophyll_ugl_mean,chlorophyll_ugl_std,chlorophyll_ugl_min,chlorophyll_ugl_max,chlorophyll_ugl_replicate_count,phycocyanin_ugl_replicate_1,phycocyanin_ugl_replicate_2,phycocyanin_ugl_replicate_3,phycocyanin_ugl_mean,phycocyanin_ugl_std,phycocyanin_ugl_min,phycocyanin_ugl_max,phycocyanin_ugl_replicate_count,phycocyanin_to_chlorophyll_ratio_replicate_1,phycocyanin_to_chlorophyll_ratio_replicate_2,phycocyanin_to_chlorophyll_ratio_replicate_3,phycocyanin_to_chlorophyll_ratio_mean,phycocyanin_to_chlorophyll_ratio_std,phycocyanin_to_chlorophyll_ratio_min,phycocyanin_to_chlorophyll_ratio_max,phycocyanin_to_chlorophyll_ratio_replicate_count,sample_depth_feet,water_temperature_c,ph,orp_mv,specific_conductivity_us_cm,dissolved_oxygen_mg_l,turbidity_ntu,x_coordinate,y_coordinate
sample_0021,2021-08-24,16:50,2021-08-24T16:50,Cunliff_Lake,Cunliff Lake,Category_1,shore,1.67,,,1.67,0,1.67,1.67,1,42.05,,,42.05,0,42.05,42.05,1,22.48,,,22.48,0,22.48,22.48,1,0.5,,,,,,,-71.414277,41.777217
sample_0022,2021-08-24,17:21,2021-08-24T17:21,Roosevelt_Lake,Roosevelt Lake,Category_1,shore,0.54,0.58,0.55,0.556667,0.020817,0.54,0.58,3,3.45,4.06,4.47,3.993333,0.513258,3.45,4.47,3,6.38,7,8.12,7.166667,0.881892,6.38,8.12,3,0.5,,,,,,,-71.415524,41.784699
sample_0023,2021-09-07,16:45,2021-09-07T16:45,Roosevelt_Lake,Roosevelt Lake,Category_1,shore,0.48,0.48,0.55,0.503333,0.040415,0.48,0.55,3,14.52,15.54,18.63,16.23,2.140117,14.52,18.63,3,30.25,32.37,33.87,32.163333,1.818827,30.25,33.87,3,0.5,,,,,,,-71.415686,41.784548
sample_0024,2021-09-07,17:00,2021-09-07T17:00,Pleasure_Lake,Pleasure Lake,Category_1,shore,1.25,1.13,1.19,1.19,0.06,1.13,1.25,3,22.94,16.78,18.42,19.38,3.190235,16.78,22.94,3,18.35,14.84,15.47,16.22,1.871336,14.84,18.35,3,0.5,,,,,,,-71.407042,41.785043
sample_0025,2021-09-07,17:15,2021-09-07T17:15,Cunliff_Lake,Cunliff Lake,Category_1,shore,1.79,1.64,1.54,1.656667,0.125831,1.54,1.79,3,40.41,37.12,33.42,36.983333,3.497003,33.42,40.41,3,22.57,22.63,21.7,22.3,0.520481,21.7,22.63,3,0.5,,,,,,,-71.413886,41.777128
sample_0026,2021-09-21,17:01,2021-09-21T17:01,Roosevelt_Lake,Roosevelt Lake,Category_1,shore,0.77,0.59,,0.68,0.127279,0.59,0.77,2,10.22,15.54,8.36,11.373333,3.726357,8.36,15.54,3,13.24,26.33,8.61,16.06,9.190424,8.61,26.33,3,0.5,,,,,,,-71.415663,41.784879
sample_0027,2021-09-21,17:25,2021-09-21T17:25,Elm_Lake,Elm Lake,Category_1,shore,1.6,1.48,1.85,1.643333,0.188768,1.48,1.85,3,55.61,54.17,73.28,61.02,10.641856,54.17,73.28,3,34.75,36.6,39.61,36.986667,2.452964,34.75,39.61,3,0.5,,,,,,,-71.412698,41.773792
sample_0028,2021-09-21,17:15,2021-09-21T17:15,Pleasure_Lake,Pleasure Lake,Category_1,shore,2.27,2.24,2.5,2.336667,0.142244,2.24,2.5,3,13.28,10.82,14.93,13.01,2.06826,10.82,14.93,3,5.85,4.83,5.97,5.55,0.626418,4.83,5.97,3,0.5,,,,,,,-71.406913,41.784947
sample_0029,2021-09-21,17:20,2021-09-21T17:20,Cunliff_Lake,Cunliff Lake,Category_1,shore,1.59,2.21,2.14,1.98,0.339559,1.59,2.21,3,58.9,81.91,75.34,72.05,11.852557,58.9,81.91,3,37.04,37.06,35.2,36.433333,1.068145,35.2,37.06,3,0.5,,,,,,,-71.414024,41.777083
sample_0030,2021-10-05,16:22,2021-10-05T16:22,Roosevelt_Lake,Roosevelt Lake,Category_1,shore,0.73,,,0.73,0,0.73,0.73,1,11.43,,,11.43,0,11.43,11.43,1,15.65,,,15.65,0,15.65,15.65,1,0.5,,,,,,,-71.415593,41.784867
sample_0031,2021-10-05,17:00,2021-10-05T17:00,Pleasure_Lake,Pleasure Lake,Category_1,shore,2.55,2.68,2.39,2.54,0.145258,2.39,2.68,3,25,16.36,25,22.12,4.988306,16.36,25,3,9.8,6.1,10.46,8.786667,2.350007,6.1,10.46,3,0.5,,,,,,,-71.407555,41.78561
sample_0032,2021-10-05,16:35,2021-10-05T16:35,Cunliff_Lake,Cunliff Lake,Category_1,shore,4.15,3.29,3.55,3.663333,0.441059,3.29,4.15,3,244.48,161.04,177.68,194.4,44.161377,161.04,244.48,3,58.91,48.94,50.05,52.633333,5.464013,48.94,58.91,3,0.5,,,,,,,-71.414275,41.777304
sample_0033,2021-10-19,16:45,2021-10-19T16:45,Roosevelt_Lake,Roosevelt Lake,Category_1,shore,0.84,1.2,0.88,0.973333,0.197315,0.84,1.2,3,15.54,19.86,14.52,16.64,2.834854,14.52,19.86,3,18.5,16.55,16.5,17.183333,1.140541,16.5,18.5,3,0.5,,,,,,,-71.415701,41.784665
sample_0034,2021-10-19,17:15,2021-10-19T17:15,Cunliff_Lake,Cunliff Lake,Category_1,shore,3.25,4.03,3.75,3.676667,0.395137,3.25,4.03,3,6.93,2.02,3.25,4.066667,2.554845,2.02,6.93,3,2.13,0.5,0.86,1.163333,0.85629,0.5,2.13,3,0.5,,,,,,,-71.413666,41.777267
sample_0035,2021-10-19,17:00,2021-10-19T17:00,Pleasure_Lake,Pleasure Lake,Category_1,shore,2.29,2.12,2.09,2.166667,0.107858,2.09,2.29,3,2.84,1.61,2.63,2.36,0.657951,1.61,2.84,3,1.24,0.75,1.25,1.08,0.285832,0.75,1.25,3,0.5,,,,,,,-71.407475,41.785723
sample_0036,2021-11-02,16:47,2021-11-02T16:47,Pleasure_Lake,Pleasure Lake,Category_1,shore,3.64,3.73,3.51,3.626667,0.110604,3.51,3.73,3,8.36,8.15,7.13,7.88,0.657951,7.13,8.36,3,2.29,2.18,2.03,2.166667,0.130512,2.03,2.29,3,0.5,,,,,,,-71.407436,41.785512
sample_0037,2021-11-02,17:45,2021-11-02T17:45,Cunliff_Lake,Cunliff Lake,Category_1,shore,4.22,3.92,4.06,4.066667,0.150111,3.92,4.22,3,4.47,2.63,3.65,3.583333,0.92181,2.63,4.47,3,1.05,0.67,0.89,0.87,0.190788,0.67,1.05,3,0.5,,,,,,,-71.413985,41.777231
sample_0038,2021-11-02,18:00,2021-11-02T18:00,Roosevelt_Lake,Roosevelt Lake,Category_1,shore,0.75,0.95,0.92,0.873333,0.107858,0.75,0.95,3,38.56,36.71,41.43,38.9,2.378298,36.71,41.43,3,51.45,38.64,45.03,45.04,6.405006,38.64,51.45,3,0.5,,,,,,,-71.415589,41.784876
sample_0039,2022-05-03,17:30,2022-05-03T17:30,Cunliff_Lake,Cunliff Lake,Category_1,shore,1.22,1.29,1.22,1.243333,0.040415,1.22,1.29,3,2.84,2.84,1.81,2.496667,0.594671,1.81,2.84,3,2.32,2.2,1.48,2,0.454313,1.48,2.32,3,0.5,,,,,,,-71.413625,41.777144
sample_0040,2022-05-03,17:37,2022-05-03T17:37,Elm_Lake,Elm Lake,Category_1,shore,1.58,1.54,1.6,1.573333,0.030551,1.54,1.6,3,2.02,1.2,1.4,1.54,0.427551,1.2,2.02,3,1.27,0.77,0.87,0.97,0.264575,0.77,1.27,3,0.5,,,,,,,-71.411989,41.773697
sample_0041,2022-05-03,17:45,2022-05-03T17:45,Polo_Lake,Polo Lake,Category_1,shore,2.33,2.19,1.96,2.16,0.186815,1.96,2.33,3,1.4,2.22,3.45,2.356667,1.031811,1.4,3.45,3,0.6,1.1,1.76,1.153333,0.581836,0.6,1.76,3,0.5,,,,,,,-71.415123,41.786219
sample_0042,2022-05-17,17:20,2022-05-17T17:20,Polo_Lake,Polo Lake,Category_1,shore,2.94,2.99,2.88,2.936667,0.055076,2.88,2.99,3,0.1,0.1,0.1,0.1,0,0.1,0.1,3,0.03,0.03,0.03,0.03,0,0.03,0.03,3,0.5,,,,,,,-71.415611,41.786265
sample_0043,2022-05-17,17:35,2022-05-17T17:35,Elm_Lake,Elm Lake,Category_1,shore,0.5,0.49,0.5,0.496667,0.005774,0.49,0.5,3,0.1,0.1,0.1,0.1,0,0.1,0.1,3,0.2,0.2,0.2,0.2,0,0.2,0.2,3,0.5,,,,,,,-71.412672,41.773956
sample_0044,2022-05-17,17:19,2022-05-17T17:19,Cunliff_Lake,Cunliff Lake,Category_1,shore,0.63,0.68,0.56,0.623333,0.060277,0.56,0.68,3,0.1,0.1,0.1,0.1,0,0.1,0.1,3,0.15,0.15,0.17,0.156667,0.011547,0.15,0.17,3,0.5,,,,,,,-71.41556,41.786317
sample_0045,2022-05-31,16:45,2022-05-31T16:45,Polo_Lake,Polo Lake,Category_1,shore,3.35,3.38,3.5,3.41,0.079373,3.35,3.5,3,0.1,0.1,0.1,0.1,0,0.1,0.1,3,0.02,0.02,0.02,0.02,0,0.02,0.02,3,0.5,,,,,,,-71.415656,41.786282
sample_0046,2022-05-31,16:40,2022-05-31T16:40,Cunliff_Lake,Cunliff Lake,Category_1,shore,0.54,0.54,0.59,0.556667,0.028868,0.54,0.59,3,0.1,0.1,0.1,0.1,0,0.1,0.1,3,0.18,0.18,0.16,0.173333,0.011547,0.16,0.18,3,0.5,,,,,,,-71.414084,41.777337
sample_0047,2022-05-31,16:49,2022-05-31T16:49,Elm_Lake,Elm Lake,Category_1,shore,2.94,1.03,0.79,1.586667,1.178148,0.79,2.94,3,0.1,0.1,0.1,0.1,0,0.1,0.1,3,0.03,0.09,0.12,0.08,0.045826,0.03,0.12,3,0.5,,,,,,,-71.411954,41.773743
sample_0048,2022-06-14,17:15,2022-06-14T17:15,Roosevelt_Lake,Roosevelt Lake,Category_1,shore,0.28,,,0.28,0,0.28,0.28,1,2.84,,,2.84,0,2.84,2.84,1,10.14,,,10.14,0,10.14,10.14,1,0.5,,,,,,,-71.415715,41.784584
sample_0049,2022-06-14,17:10,2022-06-14T17:10,Cunliff_Lake,Cunliff Lake,Category_1,shore,1.4,1.43,1.34,1.39,0.045826,1.34,1.43,3,12.67,11.23,12.87,12.256667,0.894725,11.23,12.87,3,9.05,7.85,9.6,8.833333,0.894893,7.85,9.6,3,0.5,,,,,,,-71.414192,41.777128
sample_0050,2022-06-14,17:23,2022-06-14T17:23,Elm_Lake,Elm Lake,Category_1,shore,1.18,1.14,1.14,1.153333,0.023094,1.14,1.18,3,20.27,22.32,22.94,21.843333,1.397367,20.27,22.94,3,17.17,19.57,20.12,18.953333,1.568704,17.17,20.12,3,0.5,,,,,,,-71.412213,41.773861
sample_0051,2022-06-14,17:47,2022-06-14T17:47,Edgewood_Lake,Edgewood Lake,Category_1,shore,1.67,1.53,1.92,1.706667,0.197569,1.53,1.92,3,4.27,3.45,3.04,3.586667,0.626285,3.04,4.27,3,2.55,2.25,1.58,2.126667,0.496622,1.58,2.55,3,0.5,,,,,,,-71.414985,41.786485
sample_0052,2022-06-28,18:28,2022-06-28T18:28,Cunliff_Lake,Cunliff Lake,Category_1,shore,1.36,1.24,1.41,1.336667,0.087369,1.24,1.41,3,12.67,13.28,18.01,14.653333,2.922915,12.67,18.01,3,9.31,10.7,12.77,10.926667,1.741101,9.31,12.77,3,0.5,,,,,,,-71.414138,41.777121
sample_0053,2022-06-28,18:34,2022-06-28T18:34,Elm_Lake,Elm Lake,Category_1,shore,8.93,9.96,9.38,9.423333,0.516366,8.93,9.96,3,1041.92,1125.36,1093.09,1086.79,42.075241,1041.92,1125.36,3,116.67,112.98,116.53,115.393333,2.09118,112.98,116.67,3,0.5,,,,,,,-71.411294,41.774149
sample_0054,2022-06-28,18:41,2022-06-28T18:41,Elm_Lake,Elm Lake,Category_1,shore,1.12,0.99,1.13,1.08,0.078102,0.99,1.13,3,16.98,11.43,10.82,13.076667,3.394117,10.82,16.98,3,15.16,11.54,9.67,12.123333,2.791099,9.67,15.16,3,0.5,,,,,,,-71.413041,41.77382
sample_0055,2022-06-28,18:46,2022-06-28T18:46,Polo_Lake,Polo Lake,Category_1,shore,2.41,2.36,2.28,2.35,0.065574,2.28,2.41,3,4.27,3.86,4.06,4.063333,0.20502,3.86,4.27,3,1.77,1.63,1.78,1.726667,0.083865,1.63,1.78,3,0.3,,,,,,,-71.415631,41.786128
sample_0056,2022-07-26,18:04,2022-07-26T18:04,Cunliff_Lake,Cunliff Lake,Category_1,shore,2.53,2.64,19.24,8.136667,9.615926,2.53,19.24,3,2.88,18.42,19.24,13.513333,9.217859,2.88,19.24,3,4.03,5.97,5.68,5.226667,1.046438,4.03,5.97,3,0.5,,,,,,,-71.414189,41.777137
sample_0057,2022-07-26,18:12,2022-07-26T18:12,Elm_Lake,Elm Lake,Category_1,shore,1.61,1.52,1.45,1.526667,0.080208,1.45,1.61,3,44.52,48.01,48.63,47.053333,2.215724,44.52,48.63,3,27.65,31.58,33.53,30.92,2.995046,27.65,33.53,3,0.5,,,,,,,-71.412426,41.773961
sample_0058,2022-07-26,18:28,2022-07-26T18:28,Polo_Lake,Polo Lake,Category_1,shore,5.97,5.97,6.1,6.013333,0.075056,5.97,6.1,3,0.1,0.1,0.1,0.1,0,0.1,0.1,3,0.01,0.01,0.01,0.01,0,0.01,0.01,3,0.5,,,,,,,-71.415759,41.786193
sample_0059,2022-08-23,17:20,2022-08-23T17:20,Elm_Lake,Elm Lake,Category_1,shore,3.45,3.35,3.37,3.39,0.052915,3.35,3.45,3,98.35,134.93,98.15,110.476667,21.177444,98.15,134.93,3,28.75,40.27,29.12,32.713333,6.54688,28.75,40.27,3,0.5,,,,,,,-71.411987,41.773848
sample_0060,2022-08-23,17:35,2022-08-23T17:35,Polo_Lake,Polo Lake,Category_1,shore,5.08,5.28,5.66,5.34,0.294618,5.08,5.66,3,8.77,8.97,8.56,8.766667,0.20502,8.56,8.97,3,1.72,1.69,1.51,1.64,0.113578,1.51,1.72,3,0.5,,,,,,,-71.41536,41.786154
sample_0061,2022-08-23,17:15,2022-08-23T17:15,Cunliff_Lake,Cunliff Lake,Category_1,shore,3.59,3.86,3.77,3.74,0.137477,3.59,3.86,3,67.32,50.68,57.05,58.35,8.395826,50.68,67.32,3,18.75,13.12,15.13,15.666667,2.853109,13.12,18.75,3,0.5,,,,,,,-71.413638,41.777285
sample_0062,2022-09-20,17:25,2022-09-20T17:25,Polo_Lake,Polo Lake,Category_1,shore,6.3,6.23,5.8,6.11,0.27074,5.8,6.3,3,52.53,44.93,46.98,48.146667,3.932027,44.93,52.53,3,8.33,7.21,8.1,7.88,0.591523,7.21,8.33,3,0.5,,,,,,,-71.415726,41.786259
sample_0063,2022-09-20,17:28,2022-09-20T17:28,Elm_Lake,Elm Lake,Category_1,shore,2.07,,,2.07,0,2.07,2.07,1,13.08,,,13.08,0,13.08,13.08,1,6.31,,,6.31,0,6.31,6.31,1,0.5,,,,,,,-71.412843,41.773923
sample_0064,2022-09-20,17:19,2022-09-20T17:19,Cunliff_Lake,Cunliff Lake,Category_1,shore,2.08,2.28,2.41,2.256667,0.166233,2.08,2.41,3,20.05,16.36,16.57,17.66,2.072462,16.36,20.05,3,9.64,7.17,6.87,7.893333,1.520077,6.87,9.64,3,0.5,,,,,,,-71.414205,41.777563
sample_0065,2022-10-04,16:30,2022-10-04T16:30,Cunliff_Lake,Cunliff Lake,Category_1,shore,2.23,1.95,2.39,2.19,0.222711,1.95,2.39,3,32.78,27.67,28.69,29.713333,2.704336,27.67,32.78,3,14.25,27.67,12,17.973333,8.472581,12,27.67,3,0.5,,,,,,,-71.414175,41.777236
sample_0066,2022-10-04,16:45,2022-10-04T16:45,Elm_Lake,Elm Lake,Category_1,shore,2.85,3.03,2.82,2.9,0.113578,2.82,3.03,3,21.5,28.69,30.75,26.98,4.856305,21.5,30.75,3,7.54,9.46,10.9,9.3,1.685705,7.54,10.9,3,0.5,,,,,,,-71.412754,41.773894
sample_0067,2022-10-04,16:53,2022-10-04T16:53,Edgewood_Lake,Edgewood Lake,Category_1,shore,2.19,2.27,2.31,2.256667,0.061101,2.19,2.31,3,20.68,24.17,29.72,24.856667,4.558951,20.68,29.72,3,9.11,11.03,12.86,11,1.87518,9.11,12.86,3,0.5,,,,,,,-71.415472,41.786199
sample_0068,2022-10-18,16:30,2022-10-18T16:30,Cunliff_Lake,Cunliff Lake,Category_1,shore,2.22,2.27,1.94,2.143333,0.177858,1.94,2.27,3,6.72,5.29,5.7,5.903333,0.736365,5.29,6.72,3,3.02,2.23,1.94,2.396667,0.558957,1.94,3.02,3,0.5,,,,,,,-71.414068,41.777268
sample_0069,2022-10-18,16:30,2022-10-18T16:30,Elm_Lake,Elm Lake,Category_1,shore,2.37,1.84,1.89,2.033333,0.292632,1.84,2.37,3,13.69,10.61,12.87,12.39,1.595118,10.61,13.69,3,5.77,5.76,6.8,6.11,0.597578,5.76,6.8,3,0.5,,,,,,,-71.412737,41.773882
sample_0070,2022-10-18,17:00,2022-10-18T17:00,Polo_Lake,Polo Lake,Category_1,shore,4.36,3.94,4.23,4.176667,0.215019,3.94,4.36,3,22.12,25,25.61,24.243333,1.863983,22.12,25.61,3,5.07,6.34,6.05,5.82,0.665507,5.07,6.34,3,0.5,,,,,,,-71.415646,41.78624
sample_0071,2023-06-20,14:39,2023-06-20T14:39,Spectacle_Pond,Spectacle Pond,Category_2,shore,0.88,0.82,0.69,0.796667,0.097125,0.69,0.88,3,1.61,0.64,6.31,2.853333,3.032595,0.64,6.31,3,1.83,0.78,9.14,3.916667,4.553903,0.78,9.14,3,0.2,,,,,,,-71.44271,41.79039
sample_0072,2023-06-20,14:54,2023-06-20T14:54,Mashapaug_Pond,Mashapaug Pond,Category_2,shore,1.12,0.9,0.93,0.983333,0.119304,0.9,1.12,3,0.1,0.1,0.1,0.1,0,0.1,0.1,3,0.09,0.11,0.12,0.106667,0.015275,0.09,0.12,3,0.2,,,,,,,-71.43253,41.79393
sample_0073,2023-07-21,12:43,2023-07-21T12:43,Spectacle_Pond,Spectacle Pond,Category_2,shore,0.96,0.95,1.06,0.99,0.060828,0.95,1.06,3,20.27,25,25.2,23.49,2.790394,20.27,25.2,3,21.33,26.31,23.77,23.803333,2.490167,21.33,26.31,3,0.3,,,,,,,-71.44271,41.79039
sample_0074,2023-07-21,13:02,2023-07-21T13:02,Mashapaug_Pond,Mashapaug Pond,Category_2,shore,0.49,0.52,0.46,0.49,0.03,0.46,0.52,3,13.08,15.98,9.76,12.94,3.112362,9.76,15.98,3,26.69,30.67,21.28,26.213333,4.713113,21.28,30.67,3,0.3,,,,,,,-71.43253,41.79393
sample_0075,2023-07-31,13:00,2023-07-31T13:00,Spectacle_Pond,Spectacle Pond,Category_2,shore,0.33,0.33,0.29,0.316667,0.023094,0.29,0.33,3,23.97,25.2,20.47,23.213333,2.454105,20.47,25.2,3,72.63,76.36,70.58,73.19,2.93041,70.58,76.36,3,0.2,,,,,,,-71.44203,41.787993
sample_0076,2023-07-31,13:16,2023-07-31T13:16,Mashapaug_Pond,Mashapaug Pond,Category_2,shore,0.38,0.2,0.17,0.25,0.113578,0.17,0.38,3,15.13,7.54,5.7,9.456667,4.998643,5.7,15.13,3,39.81,37.7,35.52,37.676667,2.145095,35.52,39.81,3,0.2,,,,,,,-71.43253,41.79393
sample_0077,2023-07-31,16:31,2023-07-31T16:31,Polo_Lake,Polo Lake,Category_1,shore,2.02,2.02,2.05,2.03,0.017321,2.02,2.05,3,144.59,130.62,134.93,136.713333,7.153701,130.62,144.59,3,71.57,63.71,68.49,67.923333,3.960522,63.71,71.57,3,0.5,,,,,,,-71.415942,41.786347
sample_0078,2023-07-31,16:44,2023-07-31T16:44,Willow_Lake,Willow Lake,Category_1,shore,6.37,5.91,5.4,5.893333,0.485215,5.4,6.37,3,609.08,554,537.36,566.813333,37.537658,537.36,609.08,3,95.61,93.73,99.51,96.283333,2.948242,93.73,99.51,3,0.2,,,,,,,-71.415176,41.785485
sample_0079,2023-08-15,12:35,2023-08-15T12:35,Spectacle_Pond,Spectacle Pond,Category_2,shore,0.94,0.94,0.79,0.89,0.086603,0.79,0.94,3,9.18,13.69,18.21,13.693333,4.515001,9.18,18.21,3,9.7,14.56,23.05,15.77,6.756752,9.7,23.05,3,0.2,,,,,,,-71.441702,41.788525
