task_name,target_label,site_name,major_category,date,onset_label,termination_label,advisory_active,advisory_event_id,advisory_event_censored,advisory_event_termination_observed,t2m,t2m_min,t2m_max,t2mdew,uv_index,cloud,precip,t2m_rolling_mean_3d,t2m_rolling_mean_7d,t2m_rolling_mean_14d,t2m_rolling_mean_21d,t2m_rolling_mean_30d,t2m_min_rolling_mean_3d,t2m_min_rolling_mean_7d,t2m_min_rolling_mean_14d,t2m_min_rolling_mean_21d,t2m_min_rolling_mean_30d,t2m_max_rolling_mean_3d,t2m_max_rolling_mean_7d,t2m_max_rolling_mean_14d,t2m_max_rolling_mean_21d,t2m_max_rolling_mean_30d,t2mdew_rolling_mean_3d,t2mdew_rolling_mean_7d,t2mdew_rolling_mean_14d,t2mdew_rolling_mean_21d,t2mdew_rolling_mean_30d,uv_index_rolling_mean_3d,uv_index_rolling_mean_7d,uv_index_rolling_mean_14d,uv_index_rolling_mean_21d,uv_index_rolling_mean_30d,cloud_rolling_mean_3d,cloud_rolling_mean_7d,cloud_rolling_mean_14d,cloud_rolling_mean_21d,cloud_rolling_mean_30d,precip_rolling_sum_3d,precip_rolling_sum_7d,precip_rolling_sum_14d,precip_rolling_sum_21d,precip_rolling_sum_30d,dry_day_count_7d,dry_day_count_14d,dry_day_count_30d,year,month,day_of_year,warm_season_flag,day_of_year_sin,day_of_year_cos,has_sample,has_shore_sample,has_center_sample,available_locations,center_chlorophyll_ugl_max,center_chlorophyll_ugl_mean,center_chlorophyll_ugl_min,center_chlorophyll_ugl_replicate_count,center_chlorophyll_ugl_std,center_dissolved_oxygen_mg_l,center_earliest_sample_time,center_latest_sample_time,center_orp_mv,center_ph,center_phycocyanin_to_chlorophyll_ratio_max,center_phycocyanin_to_chlorophyll_ratio_mean,center_phycocyanin_to_chlorophyll_ratio_min,center_phycocyanin_to_chlorophyll_ratio_replicate_count,center_phycocyanin_to_chlorophyll_ratio_std,center_phycocyanin_ugl_max,center_phycocyanin_ugl_mean,center_phycocyanin_ugl_min,center_phycocyanin_ugl_replicate_count,center_phycocyanin_ugl_std,center_sample_count,center_sample_depth_feet,center_specific_conductivity_us_cm,center_turbidity_ntu,center_water_temperature_c,center_x_coordinate,center_y_coordinate,overall_chlorophyll_ugl_max,overall_chlorophyll_ugl_mean,overall_chlorophyll_ugl_min,overall_chlorophyll_ugl_replicate_count,overall_chlorophyll_ugl_std,overall_dissolved_oxygen_mg_l,overall_earliest_sample_time,overall_latest_sample_time,overall_orp_mv,overall_ph,overall_phycocyanin_to_chlorophyll_ratio_max,overall_phycocyanin_to_chlorophyll_ratio_mean,overall_phycocyanin_to_chlorophyll_ratio_min,overall_phycocyanin_to_chlorophyll_ratio_replicate_count,overall_phycocyanin_to_chlorophyll_ratio_std,overall_phycocyanin_ugl_max,overall_phycocyanin_ugl_mean,overall_phycocyanin_ugl_min,overall_phycocyanin_ugl_replicate_count,overall_phycocyanin_ugl_std,overall_sample_count,overall_sample_depth_feet,overall_specific_conductivity_us_cm,overall_turbidity_ntu,overall_water_temperature_c,overall_x_coordinate,overall_y_coordinate,shore_chlorophyll_ugl_max,shore_chlorophyll_ugl_mean,shore_chlorophyll_ugl_min,shore_chlorophyll_ugl_replicate_count,shore_chlorophyll_ugl_std,shore_dissolved_oxygen_mg_l,shore_earliest_sample_time,shore_latest_sample_time,shore_orp_mv,shore_ph,shore_phycocyanin_to_chlorophyll_ratio_max,shore_phycocyanin_to_chlorophyll_ratio_mean,shore_phycocyanin_to_chlorophyll_ratio_min,shore_phycocyanin_to_chlorophyll_ratio_replicate_count,shore_phycocyanin_to_chlorophyll_ratio_std,shore_phycocyanin_ugl_max,shore_phycocyanin_ugl_mean,shore_phycocyanin_ugl_min,shore_phycocyanin_ugl_replicate_count,shore_phycocyanin_ugl_std,shore_sample_count,shore_sample_depth_feet,shore_specific_conductivity_us_cm,shore_turbidity_ntu,shore_water_temperature_c,shore_x_coordinate,shore_y_coordinate,days_since_last_sample,latest_overall_chlorophyll_ugl_mean,latest_overall_phycocyanin_ugl_mean,latest_overall_phycocyanin_to_chlorophyll_ratio_mean,latest_overall_sample_depth_feet,latest_overall_water_temperature_c,latest_overall_ph,latest_overall_orp_mv,latest_overall_specific_conductivity_us_cm,latest_overall_dissolved_oxygen_mg_l,latest_overall_turbidity_ntu,delta_7d_overall_chlorophyll_ugl_mean,delta_14d_overall_chlorophyll_ugl_mean,delta_7d_overall_phycocyanin_ugl_mean,delta_14d_overall_phycocyanin_ugl_mean,delta_7d_overall_phycocyanin_to_chlorophyll_ratio_mean,delta_14d_overall_phycocyanin_to_chlorophyll_ratio_mean,delta_7d_overall_sample_depth_feet,delta_14d_overall_sample_depth_feet,delta_7d_overall_water_temperature_c,delta_14d_overall_water_temperature_c,delta_7d_overall_ph,delta_14d_overall_ph,delta_7d_overall_orp_mv,delta_14d_overall_orp_mv,delta_7d_overall_specific_conductivity_us_cm,delta_14d_overall_specific_conductivity_us_cm,delta_7d_overall_dissolved_oxygen_mg_l,delta_14d_overall_dissolved_oxygen_mg_l,delta_7d_overall_turbidity_ntu,delta_14d_overall_turbidity_ntu,onset_eligible,termination_eligible
termination,0,Polo Lake,Category_1,2020-10-19,0,0,1,polo_lake_event_01,0,1,13.495,12.495,16.04,8.625,0.765,88.495,0.05,12.98,14.894286,15.2025,15.99,16.4775,10.731667,12.564286,13.0025,14.039286,14.630167,15.21,17.234286,17.6075,18.145714,18.477333,7.425,11.284286,10.869643,11.869048,12.312333,0.766667,0.691429,0.735714,0.784286,0.842167,52.123333,51.427857,47.724643,50.115714,52.215667,27.855,80.145,87.625,105.565,108.32,1,3,8,2020,10,293,1,-0.946714,0.322076,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
termination,0,Polo Lake,Category_1,2020-10-20,0,0,1,polo_lake_event_01,0,1,15.85,13.85,18.575,15.14,0.435,86.875,1.665,14.136667,14.873571,15.1925,15.772619,16.534,12.971667,12.565,12.927857,13.772857,14.641333,16.511667,17.291429,17.591786,18.015714,18.567167,10.025,11.307143,11.055357,11.667857,12.583833,0.648333,0.705,0.703929,0.760714,0.819833,68.815,49.97,51.386786,50.35381,53.13,1.715,33.14,89.24,103.71,109.985,1,3,7,2020,10,294,1,-0.941034,0.338313,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
termination,0,Polo Lake,Category_1,2020-10-21,0,0,1,polo_lake_event_01,0,1,17.215,16.155,18.745,16.225,0.475,80.625,0.695,15.52,15.157143,15.1375,15.656667,16.624833,14.166667,12.985,12.933571,13.70119,14.713,17.786667,17.345714,17.495714,17.876667,18.653333,13.33,11.999286,11.185714,11.653571,12.883,0.558333,0.645714,0.682143,0.739286,0.7995,85.331667,60.312857,53.648214,51.186905,55.329667,2.41,33.76,88.605,93.65,110.68,1,3,6,2020,10,295,1,-0.935075,0.35445,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
termination,0,Polo Lake,Category_1,2020-10-22,0,0,1,polo_lake_event_01,0,1,17.17,14.685,18.55,15.235,0.6,34.635,0.15,16.745,15.212857,15.297143,15.587143,16.6785,14.896667,12.980714,13.125357,13.573095,14.745667,18.623333,17.255,17.577143,17.810476,18.667833,15.533333,12.101429,11.781071,11.620476,13.131833,0.503333,0.616429,0.661786,0.715,0.792167,67.378333,62.363571,55.875,52.10381,53.3225,2.51,33.9,88.755,93.79,110.83,1,2,5,2020,10,296,1,-0.928839,0.370483,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
termination,0,Polo Lake,Category_1,2020-10-23,0,0,1,polo_lake_event_01,0,1,15.41,14.28,17.11,13.32,0.515,52.685,0.315,16.598333,14.940714,15.4625,15.495,16.596167,15.04,13.023571,13.435714,13.519048,14.723,18.135,16.944286,17.585,17.730476,18.538333,14.926667,11.742143,12.305714,11.594048,13.164833,0.53,0.617857,0.635714,0.710238,0.772667,55.981667,58.741429,58.976429,50.795238,54.801,1.16,30.68,89.07,93.91,111.145,1,1,4,2020,10,297,1,-0.922329,0.386405,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
termination,0,Polo Lake,Category_1,2020-10-24,0,0,1,polo_lake_event_01,0,1,15.305,12.245,17.95,13.215,0.445,73.245,0.17,15.961667,15.358571,15.263214,15.458571,16.4875,13.736667,13.754286,13.111071,13.419524,14.5805,17.87,17.412857,17.457143,17.726429,18.4625,13.923333,12.581429,12.180357,11.774762,13.113,0.52,0.568571,0.610357,0.685238,0.7545,53.521667,63.947857,61.636429,53.296429,54.232,0.635,3.045,89.22,94.07,111.315,1,1,3,2020,10,298,1,-0.915546,0.402214,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
termination,0,Polo Lake,Category_1,2020-10-25,0,0,1,polo_lake_event_01,0,1,10.86,9.795,12.575,6.14,0.48,96.8,0.255,13.858333,15.043571,14.947143,15.223095,16.230667,12.106667,13.357857,12.916429,13.211429,14.338667,15.878333,17.077857,17.052143,17.478571,18.217167,10.891667,12.557143,11.916786,11.572381,12.7665,0.48,0.530714,0.588214,0.665476,0.738,74.243333,73.337143,63.177857,55.792619,56.019667,0.74,3.3,89.465,93.935,111.5,0,1,3,2020,10,299,1,-0.908492,0.417903,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
termination,0,Polo Lake,Category_1,2020-10-26,0,0,1,polo_lake_event_01,0,1,12.765,10.84,14.84,10.185,0.26,99.555,2.14,12.976667,14.939286,14.916786,15.114762,16.028167,10.96,13.121429,12.842857,13.042143,14.1345,15.121667,16.906429,17.070357,17.37381,18.045167,9.846667,12.78,12.032143,11.506429,12.544667,0.395,0.458571,0.575,0.643333,0.713333,89.866667,74.917143,63.1725,56.78881,57.633833,2.565,5.39,85.535,93.015,113.475,0,1,3,2020,10,300,1,-0.901169,0.433469,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
termination,0,Polo Lake,Category_1,2020-10-27,0,0,1,polo_lake_event_01,0,1,13.325,11.46,15.455,8.96,0.41,94.275,0.975,12.316667,14.578571,14.726071,14.987857,15.802,10.698333,12.78,12.6725,12.878571,13.918333,14.29,16.460714,16.876071,17.214762,17.863333,8.428333,11.897143,11.602143,11.335952,12.229,0.383333,0.455,0.58,0.620952,0.696,96.876667,75.974286,62.972143,59.582619,58.738167,3.37,4.7,37.84,93.94,113.695,0,1,3,2020,10,301,1,-0.893579,0.448906,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
termination,0,Polo Lake,Category_1,2020-10-28,0,0,1,polo_lake_event_01,0,1,12.09,10.48,15.32,9.6,0.16,99.375,5.685,12.726667,13.846429,14.501786,14.707143,15.526,10.926667,11.969286,12.477143,12.612143,13.6205,15.205,15.971429,16.658571,16.987619,17.672667,9.581667,10.950714,11.475,11.107381,11.909,0.276667,0.41,0.527857,0.591429,0.675,97.735,78.652857,69.482857,61.983095,59.016667,8.8,9.69,43.45,98.295,117.615,0,1,3,2020,10,302,1,-0.885725,0.46421,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
termination,0,Polo Lake,Category_1,2020-10-29,0,0,1,polo_lake_event_01,0,1,10.84,9.985,11.54,8.295,0.175,99.67,29.95,12.085,12.942143,14.0775,14.512143,15.206833,10.641667,11.297857,12.139286,12.51619,13.305167,14.105,14.97,16.1125,16.708095,17.347167,8.951667,9.959286,11.030357,11.17381,11.54,0.248333,0.349286,0.482857,0.557619,0.649833,97.773333,87.943571,75.153571,66.564524,59.609833,36.61,39.49,73.39,128.245,144.045,0,1,3,2020,10,303,1,-0.877609,0.479378,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
termination,0,Polo Lake,Category_1,2020-10-30,0,0,1,polo_lake_event_01,0,1,6.85,5.2,10.555,4.71,0.245,98.085,23.295,9.926667,11.719286,13.33,14.214762,14.780167,8.555,10.000714,11.512143,12.290714,12.889833,12.471667,14.033571,15.488929,16.40119,16.976833,7.535,8.729286,10.235714,11.113571,11.146167,0.193333,0.310714,0.464286,0.527381,0.627167,99.043333,94.429286,76.585357,70.794048,60.775,58.93,62.47,93.15,151.54,156.585,0,1,3,2020,10,304,1,-0.869233,0.494403,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
